height,reach,sig_strikes_landed_pm,sig_strikes_accuracy,sig_strikes_absorbed_pm,sig_strikes_defended,takedown_avg_per15m,takedown_accuracy,takedown_defence,submission_avg_attempted_per15m,curr_weight,age,fighter_name
165.1,167.64,4.67,0.43,3.95,0.58,0.41,0.45,0.59,0.6,56.699,31.59479808350445,Alexa Grasso
165.1,167.64,3.28,0.52,2.11,0.62,2.56,0.63,0.71,0.4,56.699,37.01848049281314,Valentina Shevchenko
180.34,185.42,7.2,0.53,4.83,0.67,0.27,0.2,0.82,0.3,77.11064,28.50650239561944,Jack Della Maddalena
190.5,205.74,4.39,0.49,3.22,0.51,0.78,0.38,0.53,0.5,77.11064,32.35318275154004,Kevin Holland
175.26,170.18,1.28,0.44,1.52,0.46,3.57,0.33,0.0,1.8,61.23492,20.42984257357974,Raul Rosas Jr.
177.8,187.96,2.21,0.34,8.85,0.41,3.69,0.5,0.0,0.0,61.23492,35.20328542094456,Terrence Mitchell
185.42,195.58,5.26,0.39,4.79,0.53,0.28,0.33,0.94,0.3,70.30676,25.686516084873375,Daniel Zellhuber
177.8,180.34,2.98,0.42,2.95,0.51,2.93,0.37,0.52,0.4,70.30676,35.13757700205339,Christos Giagos
180.34,180.34,3.46,0.44,4.56,0.52,1.15,0.2,0.73,0.7,65.77083999999999,33.90006844626968,Kyle Nelson
185.42,193.04,5.51,0.38,5.81,0.53,0.0,0.0,1.0,0.0,65.77083999999999,28.243668720054757,Fernando Padilla
157.48,154.94,4.03,0.5,3.52,0.62,3.82,0.47,0.82,1.3,52.16308,31.51813826146475,Loopy Godinez
160.02,160.02,2.66,0.49,3.06,0.52,0.58,0.6,0.42,0.0,52.16308,32.271047227926076,Elise Reed
182.88,190.5,4.72,0.53,4.11,0.6,0.47,0.5,0.92,0.0,83.91452,33.86173853524983,Roman Kopylov
193.04,193.04,2.93,0.43,2.63,0.47,0.84,0.25,0.31,1.4,83.91452,31.159479808350444,Josh Fremd
170.18,180.34,2.6,0.48,4.26,0.41,0.0,0.0,0.45,1.3,56.699,29.127994524298426,Edgar Chairez
167.64,177.8,4.16,0.47,8.7,0.34,1.91,0.42,0.0,1.3,56.699,28.772073921971252,Daniel Lacerda
165.1,165.1,4.11,0.53,2.79,0.6,2.33,0.46,0.75,0.3,56.699,31.2580424366872,Tracy Cortez
170.18,172.72,3.54,0.4,4.41,0.51,2.17,0.37,0.8,0.0,56.699,36.035592060232716,Jasmine Jasudavicius
